Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,B6,15712,5173,6808,3822.42,62.35,56.61
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,B7,15021,10686,12578,4605.49,40.3,37.39
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,B8,14658,6388,7135,3352.83,47.29,43.97
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,C5,15912,5401,7479,4831.12,72.41,59.68
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,C7,14863,6421,6711,4513.27,60.36,49
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,D5,16189,5022,5226,3807.25,63.54,55.97
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,D7,16587,6167,7851,3629.41,52.25,45.24
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,E5,16374,5214,7474,4042.76,64.88,59.05
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,E7,16188,6389,6808,3769.2,52.31,46.4
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,F5,14679,8294,10004,6525.22,66.37,55.02
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,F7,14893,9247,9150,5950.52,56.44,45.61
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,G5,14933,7574,8394,5034.3,57.72,53.83
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,G7,14829,8795,9829,4665.48,48.2,43.83
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,H5,14941,7507,7854,4899.97,57.08,51.98
Rep1-H2O2-Rep3-0Pi,d071721-30min-0Pi-SKY1-R3,30min,H7,14257,8896,9654,4627.32,47.22,42.83
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,A5,16066,22343,22342,9090.24,39.85,32.73
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,A6,17065,5694,6606,3617.92,55.53,51.03
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,A7,16758,10348,10389,4616.69,41.36,37.9
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,A8,16804,6590,6414,3223.98,44.87,41.05
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,B5,17217,25891,26208,8640.41,32.41,26.84
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,B6,16844,5641,7597,3594.22,55.85,53.04
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,B7,15522,11362,10576,4734.53,38.98,35.87
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,B8,15815,6739,8253,3264,44.5,40.46
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,C5,16744,5776,6141,4423.2,64.58,55.95
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,C7,16071,6673,7597,4091.09,54.08,44.86
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,D5,18866,5507,7243,4218.6,64.99,54.46
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,D7,15507,6243,7357,3785.36,53.77,43.96
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,E5,16795,5901,7018,4500.47,64.45,56.48
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,E7,16440,6582,6316,4066.89,54.56,44.28
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,F5,16322,8472,8985,4582.08,49.33,47.02
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,F7,15817,9064,10201,4411.21,44.64,39.98
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,G5,17278,9070,8839,5395.16,53.52,49.86
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,G7,15938,9610,10000,5002.87,47.33,40.9
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,H5,17767,8668,9483,4817.89,50.66,47.82
Rep2-H2O2-Rep4-0Pi,d072021-30min-H2O2-S7Y1-R2,30min,H7,15555,9358,8990,4398.81,43.2,39.39
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,A5,16117,23145,27482,11465.89,48.98,45.49
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,A6,18770,5066,6227,3866.99,63.64,56.86
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,A7,14540,10397,10784,4860.84,43.14,39.84
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,A8,15867,6000,6057,3439.69,51.08,45.74
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,B5,15049,28504,28133,9681.84,32.7,26.1
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,B6,16982,5154,6321,3769.43,61.69,56.58
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,B7,15557,10567,10788,4585.19,40.65,37.25
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,B8,15492,6201,6143,3411.46,49.07,45.43
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,C5,16551,5624,6920,4180.08,63,56.47
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,C7,15522,6648,8116,3913.3,52.32,46.21
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,D5,351,3432,97,3757.27,93.51,125.06
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,D7,15803,6163,6228,3393.99,49.3,45.23
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,E5,17322,5441,6909,3810.93,59.99,55.57
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,E7,16356,6548,8390,3645.66,50.02,44.64
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,F5,17157,7534,8543,4755.05,55.43,51.68
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,F7,15416,8716,8120,4596.58,47.69,42.26
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,G5,17382,7543,9149,4607.76,53.82,49.95
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,G7,15016,8710,10009,4417.61,46.34,42.85
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,H5,15660,7799,10201,4762.45,53.89,49.85
Rep3-H2O2-Ctrl,d072221-30min-H2O2-S7Y1-R3,30min,H7,13760,9009,9839,4780.95,47.99,42.64
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,A9,13766,13866,16092,5544.13,37.87,38.24
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,A10,14186,8676,9485,3777.49,40.75,40.3
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,A11,12034,9881,9820,4607.22,43.47,41.61
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,A12,11282,5352,7132,2841.67,48.97,47.87
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,B9,13296,13969,15431,5602.23,38.18,37.46
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,B10,14232,8608,10782,3764.77,41.21,40.58
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,B11,12193,11130,12091,5034.17,42.43,39.99
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,B12,12931,5335,6513,2975.78,50.9,48.05
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,C9,13550,7988,7716,4793.27,54.08,43.35
Rep1-0Pi-Ctrl,d071021-60min-0Pi-S7Y1-R1,60min,C11,13156,6144,7023,4510.18,63.49,49.97
