Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,E3,10321,10065,12823,5541.92,50.36,50.67
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,F1,11628,66795,99846,57558.93,83.58,118.78
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,F3,10715,7630,7849,3771.77,45.97,46.54
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,G1,11859,71137,97232,58135.59,81.44,112.8
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,G3,10926,7783,9142,3988.38,47.71,46.77
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,H1,11618,57383,107923,57961.16,90.33,127.22
Rep3-H2O2-Ctrl,d062621-90min-H2O2-M24KO,90min,H3,10539,7314,8526,3722.83,47.08,47.9
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,A1,12728,73654,89938,45488.51,62.26,60.17
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,A2,14792,19737,94927,49428.67,104.6,125.84
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,A3,11223,9002,10783,4892.35,49.69,49.29
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,A4,12843,6081,6911,3406.29,50.08,48.59
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,B1,11821,71659,71464,28985.46,38.17,34.36
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,B2,14004,17190,85527,50761.7,107.41,122.81
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,B3,11411,10044,12332,5044.42,46.67,48.02
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,B4,11750,6477,8984,3540.37,49.63,50.65
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,C1,12329,79573,90085,49435.16,62.89,62.34
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,C2,12492,15776,108020,60259.25,111.63,125.92
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,C3,10696,9477,12342,5122.35,49.46,50.44
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,C4,9837,7086,8112,4273.13,54.05,53.92
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,D1,12629,78749,87708,46109.76,58.89,52.23
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,D3,11971,8325,10998,4628.99,49.99,49.31
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,E1,11151,76530,92467,51555.1,67.54,71.91
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,E3,11417,9201,9312,4871.36,48.67,49.79
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,F1,12758,45827,97223,51866.41,92.51,127.37
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,F3,10226,7307,8831,3730.22,47.27,48.1
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,G1,12452,49020,99965,53775.86,91.83,127.13
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,G3,10659,7362,9489,3850.83,48.19,48.86
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,H1,13101,51603,97313,55161.26,91.5,126.21
Rep4-H2O2-Ctrl,d062721-90min-H2O2-M24KO-R4,90min,H3,10258,7498,8538,3849.37,47.46,48.51
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,A5,9962,25331,29478,10455.29,38.84,38.02
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,A6,12404,18542,22313,7845.3,40.2,41.06
